"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"pcs","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",13,-0.362637362637363,0.223315720292482,0.9635,0.853708333333333,0.127428127428127,FALSE,0.710292532657515,0.579218761036943
"libsize","HALLMARK_UV_RESPONSE_DN",13,-0.307692307692308,0.306447052512529,0.925,0.891125,0.222222222222222,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_UV_RESPONSE_DN",13,-0.340659340659341,0.254706460754125,0.348375,0.23025,0.170940170940171,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_UV_RESPONSE_DN",13,-0.527472527472527,0.0639548914835549,0.8435,0.649208333333333,0.127428127428127,FALSE,0.616725963648862,0.579218761036943
"libsize","HALLMARK_UV_RESPONSE_UP",13,0.159340659340659,0.603087753131897,0.73925,0.65325,0.523698523698524,FALSE,0.837621879349858,0.79348261166443
"none","HALLMARK_UV_RESPONSE_UP",13,0.17032967032967,0.577975428839267,0.521166666666667,0.378625,0.943278943278943,FALSE,0.95147537639111,0.982582232582233
"pcs","HALLMARK_UV_RESPONSE_UP",13,-0.164835164835165,0.590478988652005,0.743833333333333,0.7835625,0.435120435120435,FALSE,0.818146050368391,0.836770067539298
"libsize","HALLMARK_WNT_BETA_CATENIN_SIGNALING",13,-0.252747252747253,0.404774071270947,0.7905,0.7200125,0.170940170940171,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_WNT_BETA_CATENIN_SIGNALING",13,-0.0824175824175824,0.788950927847518,0.564875,0.5244375,0.523698523698524,FALSE,0.962135277862827,0.968540503424224
"pcs","HALLMARK_WNT_BETA_CATENIN_SIGNALING",13,-0.208791208791209,0.493621819356885,0.608333333333333,0.4209375,0.435120435120435,FALSE,0.725914440230714,0.836770067539298
"libsize","HALLMARK_XENOBIOTIC_METABOLISM",13,-0.236263736263736,0.437083543831181,0.8655,0.671375,0.222222222222222,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_XENOBIOTIC_METABOLISM",13,-0.236263736263736,0.437083543831181,0.553,0.512875,0.354312354312354,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_XENOBIOTIC_METABOLISM",13,0.0824175824175824,0.788950927847518,0.87375,0.816625,0.832944832944833,FALSE,0.88763917464792,1
